id,name,gender
582,Ainur,f
583,Ainura,f
584,Aiolos,m
585,Aira,f
586,Airi,f
587,Aischylos,m
588,'Aisha,f
589,A'isha,f
590,Aisha,f
591,Aishah,f
592,Aishat,f
593,Aishath,f
594,Aishatu,f
595,Aishwarya,f
596,Aislin,f
597,Aisling,f
598,Aislinn,f
599,Aisopos,m
600,Aïssa,f
601,Aïssatou,f
602,Aistė,f
603,Aisyah,f
604,Aitana,f
605,Aithan,m
606,Aithne,f
607,Aitor,m
608,Aivar,m
609,Aivars,m
610,Aiza,f
611,Aizah,f
612,Ajax,m
613,Ajay,m
614,Ajda,f
615,Ajdin,m
616,Ajeet,m
617,Ajit,m
618,Ajith,m
619,Ajla,f
620,Ajna,f
621,Ajnur,m
622,Ajša,f
623,Akachi,mf
624,Akaki,m
625,Akakios,m
626,Akamu,m
627,Akane,f
628,Akanksha,f
629,Akantha,f
630,Akari,f
631,Akash,m
632,Akbar,m
633,Åke,m
634,Akeem,m
635,Akemi,f
636,Akhenaten,m
637,Akhenaton,m
638,Akhil,m
639,Akhila,f
640,Akhmad,m
641,Áki,m
642,Aki,mf
643,Akiba,m
644,Akihiko,m
645,Akihito,m
646,Akiko,f
647,Akilah,f
648,Akilina,f
649,Akim,m
650,Akimitsu,m
651,Akinyi,f
652,Akio,m
653,Akira,mf
654,Akiva,m
655,Akmad,m
656,Akoni,m
657,Ákos,m
658,Akosua,f
659,Akpan,m
660,Akpofure,mf
661,Akram,m
662,Aksana,f
663,Aksel,m
664,Akseli,m
665,Akshay,m
666,Aksinia,f
667,Aksinya,f
668,Aku,mf
669,Akua,f
670,Akuchi,mf
671,Akulina,f
672,Akvilė,f
673,Al,m
674,Ala,m
675,Ala al-Din,m
676,Alaattin,m
677,Alaba,f
678,Aladdin,m
679,Alaia,f
680,Alain,m
681,Alaina,f
682,Alaiya,f
683,Alajos,m
684,Al-Amir,m
685,Alan,m
686,Alana,f
687,Alani,f
688,Alanis,f
689,Alanna,f
690,Alannah,f
691,Alannis,f
692,Alaois,m
693,Alard,m
694,Alaric,m
695,Alasdair,m
696,Alassane,m
697,Alastair,m
698,Alastar,m
699,Alastríona,f
700,Alaya,f
701,Alayah,f
702,Alayna,f
703,Alazne,f
704,Alba,f
705,Albaer,m
706,Alban,m
707,Albano,m
708,Albanus,m
709,Albena,f
710,Alberic,m
711,Alberich,m
712,Alberico,m
713,Albert,m
714,Alberta,f
715,Albertas,m
716,Alberte,mf
717,Albertina,f
718,Albertine,f
719,Alberto,m
720,Albertus,m
721,Albie,m
722,Albin,m
723,Albína,f
724,Albina,f
725,Albine,f
726,Albino,m
727,Albinus,m
728,Alboin,m
729,Alborz,m
730,Albrecht,m
731,Albus,m
732,Alby,m
733,Alcaeus,m
734,Alcibiades,m
735,Alcide,m
736,Alcides,m
737,Alcippe,f
738,Alcmene,f
739,Alcyone,f
740,Alda,f
741,Aldara,f
742,Aldebrand,m
743,Aldegar,m
744,Aldegonda,f
745,Aldegund,f
746,Alden,m
747,Aldéric,m
748,Aldert,m
749,Aldhard,m
750,Aldin,m
751,Aldina,f
752,Aldith,f
753,Aldo,m
754,Aldona,f
755,Aldous,m
756,Aldreda,f
757,Aldric,m
758,Aldus,mf
759,Aldwin,m
760,Ale,mf
761,Alea,f
762,Aleah,f
763,Alease,f
764,Alec,m
765,Alecia,f
766,Aleĉjo,m
767,Alecto,f
768,Aled,m
769,Aleesha,f
770,Aleid,f
771,Aleida,f
772,Áleifr,m
773,Aleix,m
774,Aleixo,m
775,Alejandra,f
776,Alejandro,m
777,Alejo,m
778,Aleka,f
779,Alekos,m
780,Aleks,mf
781,Aleksandar,m
782,Aleksandër,m
783,Aleksander,m
784,Aleksandr,m
785,Aleksandra,f
786,Aleksandras,m
787,Aleksandre,m
788,Aleksandrina,f
789,Aleksandro,m
790,Aleksandrs,m
791,Aleksandru,m
792,Aleksanteri,m
793,Aleksei,m
794,Aleksej,m
795,Aleksejs,m
796,Aleksey,m
797,Aleksi,m
798,Aleksy,m
799,Alekto,f
800,Alem,m
801,Alemayehu,mf
802,Alen,m
803,Alena,f
804,Alene,f
805,Alenka,f
806,Aleš,m
807,Alesander,m
808,Alesha,f
809,Alesia,f
810,Alessa,f
811,Alessandra,f
812,Alessandro,m
813,Alessia,f
814,Alessio,m
815,Alesya,f
816,Aleta,f
817,Aletha,f
818,Alethea,f
819,Alevtina,f
820,Álex,m
821,Àlex,m
822,Alex,mf
823,Alexa,f
824,Alexander,m
825,Alexandr,m
826,Alexandra,f
827,Alexandre,m
828,Alexandrea,f
829,Alexandria,f
830,Alexandrie,f
831,Alexandrina,f
832,Alexandrine,f
833,Alexandros,m
834,Alexandru,m
835,Alexei,m
836,Alexej,m
837,Alexey,m
838,Alèxia,f
839,Alexia,f
840,Alexina,f
841,Alexios,m
842,Alexis,mf
843,Alexius,m
844,Alexsandr,m
845,Alexus,f
846,Aleyna,f
847,Alf,m
848,Alfarr,m
849,Alfbern,m
850,Alfeo,m
851,Alfhard,m
852,Alfher,m
853,Alfhild,f
854,Alfhildr,f
855,Alfia,f
856,Alfie,m
857,Alfio,m
858,Alfiya,f
859,Alfons,m
860,Alfonsina,f
861,Alfonso,m
862,Alfonz,m
863,Alfr,m
864,Alfréd,m
865,Alfred,m
866,Alfreda,f
867,Alfredas,m
868,Alfredo,m
869,Alfvin,m
870,Alfwin,m
871,Algar,m
872,Algautr,m
873,Alger,m
874,Algernon,m
875,Algimantas,m
876,Algirdas,m
877,Algot,m
878,Alhaji,m
879,Al-Hasan,m
880,Alhassan,m
881,Alheri,f
882,'Ali,m
883,Əli,m
884,Ali,mf
885,Alia,f
886,Aliah,f
887,Aliaksandr,m
888,Aliaksandra,f
889,Aliaksei,m
890,Alica,f
891,Alice,f
892,Alícia,f
893,Alicia,f
894,Alicja,f
895,Alida,f
896,Aliénor,f
897,Alienòr,f
898,Aliisa,f
899,Alija,m
900,Alik,m
901,Alikhan,m
902,Aliki,f
903,Alim,m
904,Alimjan,m
905,Alin,m
906,Alīna,f
907,Alina,f
908,Alinafe,mf
909,Aline,f
910,Aliona,f
911,Aliprand,m
912,Alis,f
913,Alisa,f
914,Alise,f
915,Alisha,f
916,Alisher,m
917,Alishia,f
918,Alisia,f
919,Alison,f
920,Alissa,f
921,Alistair,m
922,Alister,m
923,Alisya,f
924,Alita,f
925,Alivia,f
926,Alix,fm
927,Aliya,f
928,Aliyah,f
929,Aliye,f
930,Aliyya,f
931,Aliyyah,f
932,Alíz,f
933,Aliz,f
934,Aliza,f
935,Alizée,f
936,Alja,f
937,Aljaž,m
938,Aljoša,mf
939,Alkaios,m
940,Alke,m
941,Alkeides,m
942,Alkibiades,m
943,Alkippe,f
944,Alkiviadis,m
945,Alkmene,f
946,Alkmini,f
947,Alkyone,f
948,Alla,f
949,Allah,m
950,Allan,m
951,Allana,f
952,Allannah,f
953,Allard,m
954,Alle,m
955,Allegra,f
956,Allegria,f
957,Allen,m
958,Alli,f
959,Allie,f
960,Allison,fm
961,Allissa,f
962,Allochka,f
963,Allon,m
964,Allovera,f
965,Ally,fm
966,Allycia,f
967,Allyn,mf
968,Allyson,f
969,Alma,f
970,Almas,fm
971,Almast,f
972,Almir,m
973,Almira,f
974,Almiro,m
975,Almog,mf
976,Álmos,m
977,Almudena,f
978,Alodia,f
979,Álǫf,f
980,Alois,m
981,Aloisia,f
982,Aloísio,m
983,Aloisio,m
984,Alojz,m
985,Alojzia,f
986,Alojzij,m
987,Alojzija,f
988,Alojzije,m
989,Alojzy,m
990,Alon,m
991,Alona,f
992,Alondra,f
993,Alonso,m
994,Alonzo,m
995,Aloys,m
996,Aloysius,m
997,Alp,m
998,Alparslan,m
999,Alpaslan,m
1000,Alperen,m
1001,Alpertti,m
1002,Alpha,fm
1003,Alphaeus,m
1004,Alphaios,m
1005,Alphege,m
1006,Alphius,m
1007,Alphonse,m
1008,Alphonsine,f
1009,Alphonso,m
1010,Alphonsus,m
1011,Alphonzo,m
1012,Alpin,m
1013,Alta,f
1014,Altagracia,f
1015,Altair,m
1016,Altan,m
1017,Altansarnai,f
1018,Altantsetseg,f
1019,Alte,fm
1020,Alter,m
1021,Althea,f
1022,Alton,m
1023,Altti,m
1024,Altwidus,m
1025,Aludra,f
1026,Alun,m
1027,Alv,m
1028,Alva,fm
1029,Alvah,m
1030,Alvar,m
1031,Álvaro,m
1032,Alvena,f
1033,Alvilda,f
1034,Alvilde,f
1035,Alvin,m
1036,Alvina,f
1037,Alvis,m
1038,Alvise,m
1039,Alvíss,m
1040,Alwilda,f
1041,Alwin,m
1042,Alwine,f
1043,Alwyn,m
1044,Alya,f
1045,Alyce,f
1046,Alycia,f
1047,Alyona,f
1048,Alyonka,f
1049,Alyosha,m
1050,Alys,f
1051,Alysa,f
1052,Alyse,f
1053,Alysha,f
1054,Alysia,f
1055,Alyson,f
1056,Alyssa,f
1057,Alyssia,f
1058,Alyx,f
1059,Alžběta,f
1060,Alžbeta,f
1061,Ama,f
1062,Amaal,f
1063,Amabel,f
1064,Amabilia,f
1065,Amabilis,m
1066,Amable,mf
1067,Amada,f
1068,Amadej,m
1069,Amadeo,m
1070,Amadeus,m
1071,Amadi,m
1072,Amado,m
1073,Amador,m
1074,Amadou,m
1075,Amadu,m
1076,Amahle,mf
1077,Amaia,f
1078,Amaka,f
1079,Amal,fm
1080,Amala,f
1081,Amalasuintha,f
1082,Amalbert,m
1083,Amália,f
1084,Amalia,f
1085,Amálie,f
1086,Amalie,f
1087,Amalija,f
1088,Amaliya,f
1089,Amalric,m
1090,Amalthea,f
1091,Amaltheia,f
1092,Amâncio,m
1093,Amancio,m
1094,Amand,m
1095,Amanda,f
1096,Amandeep,mf
1097,Amandine,f
1098,Amando,m
1099,Amandus,m
1100,Amani,fm
1101,Amantius,m
1102,Amar,m
1103,Amara,f
1104,Amarachi,f
1105,Amaranta,f
1106,Amarante,f
1107,Amarantha,f
1108,Amardeep,mf
1109,Amari,mf
1110,Amariah,m
1111,Amarilis,f
1112,Amarjeet,mf
1113,Amaro,m
1114,Amaru,m
1115,'Amaryahu,m
1116,Amaryllis,f
1117,Amata,f
1118,Amaterasu,f
1119,Amato,m
1120,Amator,m
1121,Amatore,m
1122,Amatus,m
1123,Amaury,m
1124,Amaya,f
1125,Ambakoum,m
1126,Ámbar,f
1127,Amber,f
1128,Amberly,f
1129,Amberlynn,f
1130,Ambra,f
1131,Ambram,m
1132,Ambre,f
1133,Ambrogino,m
1134,Ambrogio,m
1135,Ambroise,m
1136,Ambroos,m
1137,Ambrose,m
1138,Ambrosi,m
1139,Ambrosia,f
1140,Ambrosine,f
1141,Ambrósio,m
1142,Ambrosio,m
1143,Ambrosios,m
1144,Ambrosius,m
1145,Ambrož,m
1146,Ambrozije,m
1147,Ambroży,m
1148,Ambrus,m
1149,Amé,m
1150,Amedea,f
1151,Amédée,m
1152,Amedeo,m
1153,Amée,f
1154,Amel,mf
1155,Amela,f
1156,Amélia,f
1157,Amelia,f
1158,Amélie,f
1159,Amelie,f
1160,Amelija,f
1161,Amelina,f
1162,Amen,m
1163,Amenemhat,m
1164,Amenemhet,m
1165,Amenhotep,m
1166,Ameqran,m
1167,Ameretat,f
1168,América,f
1169,America,f
1170,Américo,m
1171,Amerigo,m
1172,Amery,mf
1173,Amethyst,f
1174,Amets,mf
1175,Ameyalli,fm
1176,Amhlaidh,m
1177,Amhlaoibh,m
1178,Ami,mf
1179,Amias,m
1180,Amice,f
1181,Amichai,m
1182,Amie,f
1183,Amihan,f
1184,Amika,f
1185,Amílcar,m
1186,Amilcare,m
1187,Amilia,f
1188,Amin,m
1189,Əminə,f
1190,Amina,f
1191,Aminah,f
1192,Aminata,f
1193,Aminath,f
1194,Aminatou,f
1195,Aminda,f
1196,Amine,mf
1197,Aminta,m
1198,Amir,m
1199,Amira,f
1200,Amirah,f
1201,Amiran,m
1202,Amirani,m
1203,Amis,m
1204,Amista,f
1205,Amit,mf
1206,Amita,f
1207,Amitabh,m
1208,Amitai,m
1209,Amittai,m
1210,Amity,f
1211,Amiyah,f
1212,Amjad,m
1213,Amleto,m
1214,'Ammar,m
1215,Ammar,m
1216,Ammiel,m
1217,Ammon,m
1218,Amna,f
1219,Amnon,m
1220,Amon,m
1221,Amondi,f
1222,Amon-Ra,m
1223,Amor,mf
1224,Amordad,f
1225,Amore,mf
1226,Amos,m
1227,Amosis,m
1228,Amour,mf
1229,Amparo,f
1230,Ampelio,m
1231,Ampelios,m
1232,Ampelius,m
1233,Amporn,f
1234,Amram,m
1235,Amrit,m
1236,Amrita,f
1237,Amse,m
1238,Amulius,m
1239,Amun,m
1240,Amund,m
1241,Amurdad,f
1242,Amvrosiy,m
1243,Amy,f
1244,Amyas,m
1245,Amyntas,m
1246,An,mf
1247,Ana,f
1248,Anabel,f
1249,Anabela,f
1250,Ana Belén,f
1251,Anabella,f
1252,Anabelle,f
1253,Anacleto,m
1254,Anacletus,m
1255,Anaëlle,f
1256,Anah,fm
1257,Anahera,f
1258,Anahid,f
1259,Anahit,f
1260,Anahita,f
1261,Anaiah,m
1262,Anaïs,f
1263,Anaitis,f
1264,Anakin,m
1265,Anakletos,m
1266,Anakoni,m
1267,Ana María,f
1268,Anamaria,f
1269,Anamarija,f
1270,Anan,mf
1271,Anand,m
1272,Ananda,m
1273,Anandi,f
1274,Anani,m
1275,Ananias,m
1276,Anano,f
1277,Anant,m
1278,Ananta,mf
1279,Ananth,m
1280,Anantha,m
1281,Anapa,m
1282,Anar,mf
1283,Anara,f
1284,Anargul,f
1285,Anargyros,m
1286,Anaru,m
1287,Anas,m
1288,Ana Sofía,f
1289,Anass,m
1290,Anastácia,f
1291,Anastacia,f
1292,Anastacio,m
1293,Anastas,m
1294,Anastasia,f
1295,Anastasie,fm
1296,Anastasija,f
1297,Anastasio,m
1298,Anastasios,m
1299,Anastasius,m
1300,Anastasiy,m
1301,Anastasiya,f
1302,Anastázia,f
1303,Anastázie,f
1304,Anastazie,f
1305,Anastazija,f
1306,Anastazja,f
1307,Anastazy,m
1308,Anasztáz,m
1309,Anasztázia,f
1310,Anat,fm
1311,Anath,mf
1312,Anatjari,m
1313,Anatol,m
1314,Anatole,m
1315,Anatoli,m
1316,Anatolia,f
1317,Anatolijs,m
1318,Anatolios,m
1319,Anatolius,m
1320,Anatoliy,m
1321,Anatoly,m
1322,Anatu,f
1323,Anaxagoras,m
1324,Anaya,f
1325,Anayeli,f
1326,Anbu,m
1327,Anca,f
1328,Anĉjo,m
1329,Ancuța,f
1330,Anđa,f
1331,Ándaras,m
1332,Andebert,m
1333,Anđela,f
1334,Anděla,f
1335,Anđelka,f
1336,Anđelko,m
1337,Anđelo,m
1338,Andeolus,m
1339,Ander,m
1340,Anders,m
1341,Anderson,m
1342,Andi,f
1343,Andie,mf
1344,Andile,mf
1345,Andjela,f
1346,Andon,m
1347,Andoni,m
1348,Andor,m
1349,Andra,f
1350,Andrada,f
1351,András,m
1352,Andras,m
1353,Andraste,f
1354,Andraž,m
1355,Andre,m
1356,André,m
1357,Andréa,f
1358,Andrea,mf
1359,Andreas,m
1360,Andrée,f
1361,Andreea,f
1362,Andrei,m
1363,Andréia,f
1364,Andreia,f
1365,Andreina,f
1366,Andrej,m
1367,Andreja,fm
1368,Andrejs,m
1369,Andrés,m
1370,Andres,m
1371,Andrés Felipe,m
1372,Andreu,m
1373,Andrew,m
1374,Andrey,m
1375,Andria,m
1376,Andriana,f
1377,Andries,m
1378,Andrija,m
1379,Andrijana,f
1380,Andrina,f
1381,Andrine,f
1382,Andris,m
1383,Andrius,m
1384,Andriy,m
1385,Andro,m
1386,Androcles,m
1387,Androkles,m
1388,Andromache,f
1389,Andromeda,f
1390,Andronicus,m
1391,Andronikos,m
1392,Andrus,m
1393,Andrzej,m
1394,Andy,mf
1395,Andżelika,f
1396,Ane,fm
1397,Aneirin,m
1398,Anej,m
1399,Anelia,f
1400,Anelie,f
1401,Aneliya,f
1402,Anemone,f
1403,Aneta,f
1404,Anett,f
1405,Anette,f
1406,Aneurin,m
1407,Anežka,f
1408,Anfisa,f
1409,Ange,mf
1410,Ángel,m
1411,Àngel,m
1412,Angel,mf
1413,Ángela,f
1414,Àngela,f
1415,Ângela,f
1416,Angéla,f
1417,Angela,f
1418,Angèle,f
1419,Ángeles,f
1420,Angelia,f
1421,Angélica,f
1422,Angelica,f
1423,Angelien,f
1424,Angelika,f
1425,Angeliki,f
1426,Angelina,f
1427,Angeline,f
1428,Angelino,m
1429,Angélique,f
1430,Angelique,f
1431,Angelita,f
1432,Angelle,f
